title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
Gesti�n de personas: Recursos Humanos,"Eneste curso en l�nea te ayudaremos para que aprendas a observar, analizar y dise�ar experiencias memorables para el cliente interno que impactar�n en la fidelizaci�n incremental del cliente externo.","18,368",Self-paced on your time,Delft University of Technology,Felienne Hermans,Intermediate,Computer Science,Español,"English, Español",48,3895.5
From Poverty to Prosperity: Understanding Economic Development,"Learn about the role of government and the key political, social, and economic processes that elevate any society from poverty to prosperity.","7,017",Self-paced on your time,Pontificia Universidad Javeriana,Andrés Ricardo Quintero,Introductory,Communication,Español,Español,16,3895.5
Economic development needs polities that are centralised and inclusive. No society starts with such a polity. Starting from anarchy, what determines whether a centralised state emerges? ,"14,052",Self-paced on your time,University of Adelaide,Professor Wendy Umberger-Elizabeth Gunner-Craig Johns-Dr. Alexandra Peralta,Intermediate,Business & Management,English,English,12,15820.5
Module 2: From centralised to Inclusive States,,"6,426",Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",36,11845.5
Economic development needs polities that are centralised and inclusive. No society starts with such a polity. What are the factors that develop a centralised state into an inclusive one? Module 3: Power, Identities and Narratives,"27,338",Self-paced on your time,Amnesty International,Amnesty International,Introductory,Social Sciences,English,English,20,3895.5
Economic development needs an alignment between power and identities. What happens when power and identities are misaligned and how can that misalignment be addressed? Module 4: Growth through Urbanisation and Industrialisation,,"87,539",Self-paced on your time,Delft University of Technology,Annemiek van Boeijen-Jaap J.J. Daalhuizen,Intermediate,Business & Management,English,English,56,6280.5
Economic development depends upon exploiting scale and specialisation, but poor societies start with neither. How can government policies promote or inhibit the exploitation of scale and specialisation? Module 5: External Influences: Trade flows,"30,731",Self-paced on your time,Tsinghua University,Kaiping Peng,Introductory,Philosophy & Ethics,中文,English,65,11050.5
The political, social and economic processes covered in previous modules are fundamentally internal. External influences are peripheral but may still matter,"9,347",Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Intermediate,Electronics,English,"English, 中文",70,13435.5
"The details of the final assignment and instructions on how to complete it will be available in this module.""",https://www.edx.org/course/from-poverty-to-prosperity-understanding-economic,"6,166",Self-paced on your time,KU Leuven University,Johan Neyts-Corinne Vandermeulen-Steven Van Gucht-Marta Romano,Intermediate,Medicine,English,English,30,3895.5
Medical Terminology,"Medical terminology is the study of the rules of medical word building. Receive a thorough grounding in basic medical terminology through a study of root words, prefixes and suffixes.","6,273",Self-paced on your time,HEC Montréal,Gilles Cazabon,Introductory,Business & Management,Français,Français,15,11845.5
"Cost: $500 (USD) - pay for credit earned after passing the course with a C or better. Eligibility: """,,"8,032",Self-paced on your time,Delft University of Technology,Tillmann Klein-Marcel Bilow-Arnout Sabbe-Mo Smit,Intermediate,Architecture,English,English,30,3975
Ancient Masterpieces of World Literature,"Examine how cultures of the ancient world defined themselves through literature and how their vision of literature contributes to our understanding of civilization, culture, and literature today.","12,667",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,12,15820.5
Section 2: The Birth of Literature ( The Epic of Gilgamesh ),,"23,335",Instructor-led on a course schedule,Université catholique de Louvain,Yannick Radi,Advanced,Law,English,English,80,11925
Section 3: Homer and the Archeology of the Classical Past ( The Odyssey ),,"36,827",Instructor-led on a course schedule,Columbia University,Eitan Grinspun,Advanced,Computer Science,English,English,120,19795.5
Section 4: West-Eastern Conversations ( The1001 Nights ),,"28,580",Self-paced on your time,Georgetown University,Daniel Byman-Christine Fair-Bruce Hoffman-Paul Pillar,Introductory,Humanities,English,English,70,3895.5
Section 5: The Floating World ( The Tale of Genji ),,"30,030",Instructor-led on a course schedule,Université catholique de Louvain,Chantal de Moerloose-Claude Pecheux-Anne-Laure Bartier,Intermediate,Business & Management,Français,Français,50,11925
"Section 6: The First National Epic ( The Lus�ads )""",https://www.edx.org/course/ancient-masterpieces-of-world-literature,"38,041",Instructor-led on a course schedule,Delft University of Technology,Arno Smets-Miro Zeman-René van Swaaij,Advanced,Engineering,English,English,132,19875
Shakespeare's The Merchant of Venice: Shylock,An exploration of the magnetic and ambivalent character of Shylock in William Shakespeare�s The Merchant of Venice.,"52,667",Self-paced on your time,Australian National University,Adam Butt,Introductory,Data Analysis & Statistics,English,English,32,3895.5
Gesti�n del estr�s y Mindfulness,"Toma el control de tus emociones y aprende a disfrutar tu trabajo con este curso en l�nea. En este curso aprender�s c�mo controlar el estr�s, y obtendr�s habilidades profesionales y personales para tu �xito profesional.","9,114",Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,History,English,English,5,3895.5
Behavioural Economics in Action,"Learn to use principles and methods of behavioural economics to change behaviours, improve welfare and make better products and policy.","6,388",Self-paced on your time,Western Governors University,Gerri Light-Ryan Whisler,Introductory,Computer Science,English,English,60,31768.2
Finance for Everyone: Smart Tools for Decision-Making,In this introduction to finance course from Michigan learn to apply frameworks and smart tools for understanding and making everyday financial decisions.,NA,Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,Español,Español,64,3895.5
Creating Innovative Business Models,"Build your capabilities to create a value proposition, team strategy, market strategy, and financial strategy to transform your ideas into a startup company or innovative corporate venture","16,013",Self-paced on your time,Delft University of Technology,Hans de Bruijn-Gerdien de Vries,Intermediate,Business & Management,English,English,25,9937.5
u.lab: Leading From the Emerging Future,"An introduction to leading profound social, environmental and personal transformation.","21,296",Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Randy Hansen,Intermediate,Education & Teacher Training,English,English,80,23770.5
Electric Cars:�Introduction,"Get a basic understanding of electric cars and learn about leading technologies, development of profitable business models and effective policies.",NA,Self-paced on your time,Stanford University,Tim Roughgarden,Intermediate,Computer Science,English,English,24,11845.5
Inteligencia Artificial para todos: Domina los fundamentos,"Aprende qu� es la Inteligencia Artificial (IA) al comprender sus aplicaciones y conceptos claves, incluidos el aprendizaje autom�tico, el aprendizaje profundo y las redes neuronales.","6,746",Self-paced on your time,Rice University,Stephen Wang,Intermediate,Math,English,English,64,12640.5
Marketing Analytics,Develop quantitative models that leverage business data to forecast sales and support important marketing decisions.,NA,Self-paced on your time,Universidades Anáhuac,Fernando Azcoitia Moraila,Intermediate,Medicine,Español,Español,24,3895.5
Introducci�n a la Regulaci�n Emocional basada en Mindfulness,NA,"20,052",Self-paced on your time,Delft University of Technology,Lieven Vandersypen-Menno Veldhorst-Koen Bertels-Leo Di Carlo,Intermediate,Physics,English,English,48,6280.5
Design Thinking Fundamentals,Learn how a user-centered approach and design thinking principles inspire innovative ideas to create desirable solutions.,"10,856",Self-paced on your time,Berklee College of Music,Peter Bell,Introductory,Music,Español,Español,20,3895.5
Basic Spanish 3: Getting there,"Beginners course for learners of Spanish that focuses not only on language but also on cultural aspects, specifically designed for English speakers.",NA,Self-paced on your time,Tecnológico de Monterrey,Santiago José Vázquez Blanco,Intermediate,Business & Management,English,English,32,11845.5
Mi propia huerta org�nica,"Este curso est� realizado por profesionales para todas aquellas personas que tienen ganas de tener una huerta org�nica, que consideran que es muy importante el cultivo, sus propias hortalizas, plantas arom�ticas, frutales, beneficiosos para el cuidado de su salud y la econom�a familiar.",NA,Self-paced on your time,Stanford University,Jeffrey D. Ullman,Advanced,Computer Science,English,English,70,10255.5
Sustainability in Architecture: An Interdisciplinary Introduction,This course introduces the basic elements and trendsthat define sustainability practices in Architecture today. Itfollows an interdisciplinary approach that includes performance assessment and urban policies.,NA,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,Español,Español,25,3895.5
Week 2: Buildings, performance,"8,118",Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,20,3895.5
Week 3: Efficiency, sustainability,"6,169",Self-paced on your time,The International Monetary Fund,Wouter Bossu-Hans Weenink-Catalina Margulis-Jess Cheng,Intermediate,Law,English,English,36,1987.5
"Week 4: Integrated design and Business Models""",https://www.edx.org/course/sustainability-in-architecture-an-interdisciplinar,"18,690",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,28,3895.5
Gesti�n de riesgos en proyectos de desarrollo,Aprende a gestionar anticipadamente los eventos positivos y negativos que pueden afectar la ejecuci�n de un proyecto de desarrollo.,"8,250",Self-paced on your time,Inter-American Development Bank,Rosangela Bando-Emma Naslund-Hadley,Introductory,Education & Teacher Training,Español,Español,20,1987.5
Python Data Structures,"The second course in Python for Everybody explores variables that contain collections of data like string, lists, dictionaries, and tuples. Learning how to store and represent and manipulate data collections while a program is running is an important part of learning how to program.","11,275",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,40,3895.5
The Science and Business of Biotechnology,"Explore the latest scientific innovations in biotechnology, and novel business and financing models for commercializing them.","24,667",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Advanced,Language,Italiano,Italiano,60,3895.5
Finance Essentials,Discover how to use fundamental finance tools in both management and MBA learning contexts and understand common financial situations faced in everyday life.,NA,Self-paced on your time,The University of Edinburgh,Ewelina Lacka-Malcolm Kirkup-Asanka de Silva-Antonia Gieschen,Introductory,Business & Management,English,English,18,11845.5
Introduction to the Internet of Things (IoT),Gain an understanding of what the IoT is and the requirements to design your own IoT solutions. Start developing IoT ideas in your industry.,"11,812",Self-paced on your time,Kyoto University,Tetsuro Matsuzawa,Introductory,Science,English,English,15,3895.5
'Talk to me': Improving mental health and suicide prevention in young adults,"As a student, parent, teacher, coach, or health professional, learn strategies to help improve the mental health of young people in your life, recognise concerning behaviours, and feel better prepared to have conversations about mental health.","61,824",Self-paced on your time,SchoolYourself,Zach Wissner-Gross-John Lee-Vivek Venkatachalam-Kenny Peng,Introductory,Math,English,English,84,3975
Disaster Medicine Training,Welcome to Disaster Medicine Training. ,"43,125",Self-paced on your time,World Bank Group,Federica Saliola-Aart Kraay-Truman G. Packard-Shwetlena Sabarwal,Introductory,Economics & Finance,English,"اللغة العربية, English, Español, Français, Русский, 中文",25,397.5
Nutrition and Health: Human Microbiome,"Learn how you can impact your health by balancing your gut health; how your microbiome together with your diet can improve normal gut function. A balanced microbiome and nutritional intake can avoid disorders like IBS, obesity and diabetes.","5,367",Self-paced on your time,Université de Montréal,Nathalie Caire Fon,Introductory,Medicine,English,English,24,11845.5
This module includes topics like: how to study the microbiome, microbiota for health and the human microbiome Module 2: Early life microbiota development,"80,425",Self-paced on your time,Inter-American Development Bank,Ivette Fis de Melo-Norma Palomino,Introductory,Data Analysis & Statistics,Español,Español,50,1987.5
This module includes topics like: development of the microbiome, microbiome and health,"7,253",Instructor-led on a course schedule,New York University,Beth Rosenberg-Erik Dykema,Introductory,Art & Culture,English,English,140,19795.5
This module includes topics like: healthy ageing, including centenarians,"12,826",Self-paced on your time,Inter-American Development Bank,Olga Espinoza-Eduardo Pazinato-Alejandra Mera-Hung-En Sung,Intermediate,Social Sciences,Español,Español,50,1987.5
Topics in this module include: nutrition, diet and genes and obesity Module 5: Microbial therapies and diagnostics,"25,024",Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Engineering,Español,Español,60,5962.5
This module includes topics like: microbial therapies, personalized therapies and diagnostics. Module 6: Applicability and societal impact,"5,289",Self-paced on your time,University of Texas at Arlington,George Siemens-Justin Dellinger-Matt Crosslin-Tanya Joosten,Introductory,Education & Teacher Training,English,English,30,11050.5
This module includes topics like: applicability of the microbiome in medical therapy, pharmacy,"10,281",Self-paced on your time,Wageningen University & Research,Emiel Wubben-Alistair Beames-Gert Jan Hofstede-Dr. Kim Poldner,Advanced,Business & Management,English,English,144,11845.5
Customer Relationship Management,Learn to develop customer relationships through a deepened understanding of the concepts and best practices of CRM.,"44,669",Instructor-led on a course schedule,Massachusetts Institute of Technology,David Jerison-Gigliola Staffilani-Jennifer French-Karene Chu,Intermediate,Math,English,English,150,7950
Meaning and definition of CRM, benefits of CRM,"40,620",Self-paced on your time,"The University of California, San Diego",Pavel Pevzner-Daniel Kane-Alexander S. Kulikov-Michael Levin,Intermediate,Computer Science,English,English,60,7870.5
The why�s and how�s of building relationships with customers. Week 3 : Economics of CRM,,"51,918",Self-paced on your time,Delft University of Technology,Luuk Rietveld-Doris van Halem,Intermediate,Engineering,English,English,56,3975
Lifetime value of customer, Activity based costing for customer profitability analysis Week 4 : CRM Applications,"7,789",Self-paced on your time,Universidades Anáhuac,Laura Avila Rodríguez-Lourdes Rojas Cataño,Intermediate,Economics & Finance,Español,Español,35,3895.5
Applications of CRM in different industries Week 5 : CRM in Business Markets,,"44,037",Self-paced on your time,Université catholique de Louvain,Catherine D'Hondt-Isabelle Platten,Intermediate,Business & Management,Français,Français,91,11925
CRM practices in Business Markets Week 6 : CRM implementation,,"34,550",Self-paced on your time,University of Adelaide,Luke Harrald-Christian Haines-Stephen Whittington,Introductory,Computer Science,English,English,18,13435.5
CRM implementation process," precautions related to CRM implementation.""","31,077",Self-paced on your time,Babson College,Dennis J. Ceru,Introductory,Business & Management,English,English,36,11845.5
Islam Through Its Scriptures,"Learn about the Quran, the central sacred text of Islam, through an exploration of the rich diversity of roles and interpretations in Muslim societies.","26,453",Self-paced on your time,The University of Michigan,Kathleen Alsup-Glenn M. Fox-Kelli A. Sullivan,Introductory,Biology & Life Sciences,English,English,15,3895.5
Mechatronics Revolution: Fundamentals and Core Concepts,"In this course, students will learn to harness the power of microcontrollers, sensors, and actuators to build useful and interesting robotic devices.","9,028",Self-paced on your time,NYIF,Tracy Williams,Advanced,Economics & Finance,English,English,18,15820.5
Accounting for Decision-Making,This course is part of a MicroMasters� Program,"6,169",Self-paced on your time,Waseda University,Naoko Kinoshita-Kaori Sano-Yukiyo HAMAKAWA,Introductory,Language,English,English,25,7870.5
C Programming: Language Foundations,Master foundational concepts in the C programming language such as logical statements and arrays.,"9,752",Self-paced on your time,Massachusetts Institute of Technology,Thomas Eagar-Jessica Sandland,Introductory,Engineering,English,English,9,3975
Big Data sin misterios,Transforma los datos en valor. Aprende el potencial de Big Data para aumentar la eficiencia y eficacia de tu organizaci�n en este MOOC desarrollado con Telef�nica.,"39,137",Self-paced on your time,University of Pennsylvania,Sampath Kannan,Intermediate,Computer Science,English,English,32,11845.5
Becoming a Successful Leader (Inclusive Leadership Training),Become a successful leader by learning 21st-century leadership skills and applying concepts to the real world.,NA,Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,28,3895.5
"English for Journalists, Part 1","Improve your English grammar, vocabulary and writing skills through exciting topics in journalism and world news.","12,384",Self-paced on your time,MandarinX,Estella Chen,Intermediate,Language,English,English,60,11845.5
Introduction to Networking,This is a self-paced course from NYU that provides an Introduction to Networking,"26,060",Self-paced on your time,Universitat Politècnica de Valencia,Antonio José Guirao Sánchez-Santiago Moll López,Intermediate,Math,Español,Español,16,3975
Accounting Essentials,An introduction to the financial and management accounting skills needed to succeed in both MBA study and in business.,"17,321",Self-paced on your time,IsraelX-Tel Aviv University,Miri Shefer-Mossensohn,Introductory,Humanities,English,English,32,11845.5
Introduction to Java Programming: Starting to code in Java,Learn to program with Java in an easy and interactive way!,"9,010",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,36,7870.5
The first section introduces basic programming concepts, such as values and expressions,NA,Instructor-led on a course schedule,Université catholique de Louvain,Paul Fisette-Maxime Raison,Intermediate,Engineering,English,English,154,3975
The second section introduces state transformation including representation of data and programs as well as conditional repetition. 3. Functional Abstraction,,"37,538",Self-paced on your time,"The University of California, San Diego",David Barner,Introductory,Social Sciences,English,English,25,3895.5
The third section addresses the organization of code in a program through methods, which are invoked to carry out a task and return a result as answer. Recursion,"9,899",Self-paced on your time,Columbia University,Columbia University Center for Teaching and Learning-Amanda M. Jungels-Chandani Patel-Amanda Irvin,Introductory,Education & Teacher Training,English,English,18,3895.5
The fourth section introduces the object oriented programming (OOP) paradigm, which enables the modeling of complex programs in Java through objects and classes. The concept of inheritance as the basis for reusing code and simplifying programs in Java is studied in this week. 5. Packaging,"31,031",Self-paced on your time,Babson College,Rick Cleary-Nathan Karst-Davit Khachatryan-George Recck,Introductory,Business & Management,English,English,24,19795.5
The last section aims to study the reuse of code through third-party classes that are already developed and that we can incorporate to our programs to perform specific actions," and reduce the number of lines that we need to code.""",NA,Self-paced on your time,Universidades Anáhuac,Ricardo Cristhian Morales Pelagio-Joel Álvarez Bautista,Intermediate,Economics & Finance,Español,Español,35,3895.5
European Paintings: From Leonardo to Rembrandt to Goya,Uncover the meaning behind the art of the great painters from 1400 to 1800.,"19,520",Instructor-led on a course schedule,The University of Queensland,Simon Smart,Advanced,Energy & Earth Sciences,English,English,168,29812.5
Java Programming Fundamentals,"Your career as a program developer starts here. Gain entry-level programing skills in Java language, and prepare yourself to handle any task that is required in any programming job.","35,162",Self-paced on your time,Rice University,Elizabeth Eich-Daniel J. Catanese,Intermediate,Biology & Life Sciences,English,English,36,13435.5
"Hollywood: History, Industry, Art",NA,"19,728",Self-paced on your time,Berklee College of Music,Suzanne Hanser-Annette Philip,Introductory,Humanities,English,English,20,3895.5
Data Science Tools,"Learn about the most popular data science tools, including how to use them and what their features are.","5,311",Self-paced on your time,Stanford University,Jeffrey D. Ullman-Jure Leskovec-Anand Rajaraman,Advanced,Computer Science,English,English,70,11845.5
Statistical Thinking for Data Science and Analytics,Learn how statistics plays a central role in the data science approach.,"25,041",Self-paced on your time,Tokyo Institute of Technology,Akira Chiba-Akira Matsuzawa-Shinsuke Miyajima-Ayaka Saito,Introductory,Engineering,English,"English, 日本語",12,3975
Philosophy and Critical Thinking,NA,NA,Self-paced on your time,Universidad del Rosario,Diana Alejandra Hincapié Moreno-María Liliana Labrador Morales-Diana Rocío Umaña Buitrago,Introductory,Language,Español,Español,24,3895.5
International Law,"Learn about the Law of the International Community, including how International Law is created, applied and upheld in today's world.","11,184",Self-paced on your time,Universidades Anáhuac,Román Alberto Zamarripa Franco,Introductory,Computer Science,Español,Español,20,3895.5
1.1. What is International law,,NA,Self-paced on your time,Universidad Galileo,Jorge Samayoa-Eduardo Corpeño-Preng Biba-Julio Fajardo,Introductory,Computer Science,Español,Español,20,3895.5
1.2. A brief history,,"11,443",Self-paced on your time,Amnesty International,Amnesty International,Introductory,Social Sciences,English,English,6,3895.5
1.3. International law as a common language 2. Setting the International Law Stage,,"6,923",Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,English,English,32,11845.5
2.1. States,,"7,581",Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Electronics,English,English,36,3975
2.2. International Organizations,,NA,Self-paced on your time,NYIF,Michael Carr,Introductory,Economics & Finance,English,English,18,15820.5
2.3. United Nations 3. Making International Law (part 1),,"20,261",Self-paced on your time,Universidad Autónoma de Madrid,Alberto Ortiz Arduan-María Dolores Sánchez Niño-María Vanessa Pérez Gómez,Introductory,Medicine,Español,Español,30,3895.5
3.1. Introduction: the theory of sources,,"13,340",Self-paced on your time,Rochester Institute of Technology,Jennifer Englert,Intermediate,Business & Management,English,English,72,23770.5
3.2. The problem of International Law-making,,NA,Self-paced on your time,Rochester Institute of Technology,Ammina Kothari,Introductory,Communication,English,English,18,15820.5
3.3. Customary International Law 4. Making International Law (part 2),,"41,021",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,28,19795.5
4.1. International Treaties,,"27,761",Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,48,11845.5
4.2. The Validity of Treaties,,"7,460",Self-paced on your time,Wits University,Paul McNally-Boikaego Seadira-Susan Stos-Zandile Mashaba,Introductory,Communication,English,English,12,3895.5
4.3. General Principles,,"22,089",Instructor-led on a course schedule,Chalmers University of Technology,Sven Andersson-Anders Grauers,Advanced,Engineering,English,English,120,19795.5
4.4. Unilateral Acts,,"40,106",Self-paced on your time,University of Adelaide,Frank Neumann-Vahid Roostapour-Aneta Neumann-Wanru (Kelly) Gao,Intermediate,Computer Science,English,English,100,15820.5
4.5. Soft-Law 5. Applying International Law,,"26,600",Self-paced on your time,Wageningen University & Research,Gerrie van de Ven-I.J.M. de Boer-Carolien Kroeze-Eddie Bokkers,Introductory,Biology & Life Sciences,English,English,60,3895.5
5.1. Binding force of International Law,,"69,064",Self-paced on your time,The Hong Kong Polytechnic University,W.B. Lee-Klaus Tochtermann-Usama Fayyad-Eric Tsui,Introductory,Business & Management,English,English,64,3975
5.2. Interpreting International Law,,"6,409",Self-paced on your time,Pontificia Universidad Javeriana,Alvaro Figueroa Cabrera,Introductory,Economics & Finance,Español,Español,48,3895.5
5.3. Conflicting obligations,,"19,171",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,28,3895.5
5.4. Applying International Law, including in domestic law 6. Claiming responsibility,"65,711",Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,40,3975
6.1. The Notion of Responsibility and the Concept of Internationally Wrongful Act,,"8,644",Self-paced on your time,ETH Zurich,Felix Kienast-Gregor Martius-Janet Silbernagel-Sima Fakheran,Intermediate,Environmental Studies,English,English,56,3975
6.2. Attribution of Internationally Wrongful Act,,"21,591",Self-paced on your time,Curtin University,Iain Murray AM,Introductory,Computer Science,English,English,30,15820.5
6.3. Responsibility and New Obligations,,"8,192",Self-paced on your time,Amazon Web Services,Rudy Chetty-Hong Pham,Introductory,Computer Science,English,English,16,3895.5
6.4. Invoking Responsibility,,"7,360",Self-paced on your time,Universidad Nacional de Córdoba,Jorge Pullin,Introductory,Science,Español,"English, Español",35,3975
6.5. Countermeasures 7. Seeking Justice,,"46,607",Self-paced on your time,Berklee College of Music,John P. Kellogg,Introductory,Business & Management,English,English,24,3895.5
7.1. Pacific Settlement of Disputes,,"13,480",Self-paced on your time,Universidad Autónoma de Madrid,Germán Montoro Manrique-Alejandro Sierra Urrecho,Introductory,Computer Science,Español,Español,16,3895.5
7.2. Arbitration,,"5,980",Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,20,3895.5
7.3. The International Court of Justice (Jurisdiction),,NA,Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,Español,Español,28,3895.5
7.4. The International Court of Justice (Procedure),,"10,488",Self-paced on your time,SDG Academy,Achim Dobermann-Ken Giller-Jessica Fanzo-Upmanu Lall,Intermediate,Environmental Studies,English,"English, Русский",35,3895.5
7.5. The International Criminal Court,,NA,Self-paced on your time,Doane University,"Arinna Butler Roxa, MBA",Introductory,Economics & Finance,English,English,144,6280.5
7.6. International Immunities before Domestic Courts 8. Upholding Peace,,"5,410",Self-paced on your time,NYIF,Douglas Carroll,Introductory,Economics & Finance,English,English,8,7870.5
8.1. The Outlawry of War,,"23,441",Self-paced on your time,Universitat Politècnica de Valencia,Juan A. Marin-García-Cristina Santandreu Mascarell-Amable Juárez Tárrega,Intermediate,Business & Management,Español,Español,32,6280.5
8.2. Self-Defence,,NA,Self-paced on your time,IBM,Romeo Kienzler-Svetlana Levitan-Maureen McElaney,Introductory,Data Analysis & Statistics,Español,Español,49,3100.5
8.3. Collective Security,,NA,Self-paced on your time,Universidades Anáhuac,J. Armando Barriguete Meléndez-Adriana Viladoms Portugal,Intermediate,Health & Safety,Español,"English, Español",35,2305.5
"8.4. The Use of Force and the United Nations""",https://www.edx.org/course/international-law,"9,762",Self-paced on your time,Tecnológico de Monterrey,Manuel Macías García-Rodolfo Anaya Zamora-Cornelio Contreras Hinojosa,Intermediate,Engineering,Español,Español,35,3895.5
Tourism and Travel Management,Leading tourism practitioners and researchers offer insider perspectives on this dynamic and growing industry.,"17,055",Self-paced on your time,The University of Queensland,Sara Dolnicar-Bettina Grün-Friedrich Leisch,Intermediate,Business & Management,English,English,40,7870.5
Project Management Life Cycle,"Learn how to apply project management tools, processes, and techniques for the successful execution of a project from initiation to closing.",NA,Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,Português,Português,32,11845.5
Solar Energy,Discover the power of solar energy and learn how to design a complete photovoltaic system.,"5,719",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,35,3895.5
Introduction to Solar Energy,,"16,905",Self-paced on your time,Massachusetts Institute of Technology,Caroline Ross-Jessica Sandland,Intermediate,Engineering,English,English,192,11925
(Assignment 1) Week 2,,NA,Self-paced on your time,University of Hong Kong,Dr. Ming-Yen Ng-Dr. Varut Vince Vardhanabhuti-Guest speaker: Dr. Suhny Abbara-Guest speaker:  Dr. Ed Nicol,Introductory,Medicine,English,"English, Français, 中文, 中文",12,7870.5
Working Principle of a Semiconductor based Solar Cell,,"33,656",Self-paced on your time,Delft University of Technology,Harry Bouwman-Mark de Reuver-Timber Haaker,Introductory,Business & Management,English,"Deutsch, English, Español, Français",32,7870.5
(Assignment 2) Week 3,,"28,472",Self-paced on your time,University of British Columbia,Jonathan Barnett-Larry Beasley,Introductory,Environmental Studies,English,,30,7870.5
Solar Cell Operation, Performance and Design Rules,"37,158",Self-paced on your time,ETH Zurich,Bertrand Meyer,Introductory,Computer Science,English,English,18,3975
(Exam 1) Week 4,,"9,144",Self-paced on your time,Universidad del Rosario,Claudia Alejandra Castillo Chavarro-Juan Manuel Sánchez Barrero,Intermediate,Computer Science,Español,Español,40,3895.5
PV technology Based on Crystalline Silicon Wafers,,NA,Self-paced on your time,Stanford University,Paul Brest,Introductory,Philanthropy,English,English,40,3975
(Assignment 3) Week 5,,"28,337",Self-paced on your time,Inter-American Development Bank,Luiz Claudio Faria-Vanessa Sayos del Castillo-Ernesto Mondelo,Introductory,Business & Management,Português,Português,40,3895.5
Thin-Film PV technologies,,"12,918",Self-paced on your time,The University of Queensland,Tim Kastelle-Anna Jenkins-John Steen,Intermediate,Business & Management,English,English,100,19795.5
(Assignment 4) Week 6,,NA,Self-paced on your time,New York University,Aspen Olmsted,Introductory,Computer Science,English,English,40,13197
Third Generation PV and Other Ways to Utilize Solar Energy,,"10,551",Self-paced on your time,The University of Edinburgh,Mathieu Lucquiaud-Mark Wilkinson-MennatAllah Labib,Introductory,Engineering,English,English,15,3895.5
(Exam 2) Week 7,,"5,280",Self-paced on your time,Stanford University,Mark D. Zoback,Introductory,Energy & Earth Sciences,English,English,60,10255.5
PV Systems-Components and Concepts,,NA,Self-paced on your time,Universidades Anáhuac,Gregorio Barcala Rubio-Mauricio De Anda Hernández,Intermediate,Business & Management,Español,Español,35,3895.5
(Assignment 5) Week 8,,"5,914",Self-paced on your time,Waseda University,Hironori Washizaki-Kenji Tei,Introductory,Computer Science,English,English,15,7870.5
PV Systems- Application and Design,,"10,858",Self-paced on your time,Curtin University,Marion Kickett-Simon Forrest,Introductory,Language,English,English,18,11050.5
"(Exam 3)""",https://www.edx.org/course/solar-energy-3,NA,Instructor-led on a course schedule,Massachusetts Institute of Technology,Justin Reich-Sam Wineburg,Introductory,Education & Teacher Training,English,English,16,3895.5
Public Speaking,Build confidence as a speaker by learning how to use simple tools and skills to prepare and deliver memorable presentations.,"18,943",Self-paced on your time,Wageningen University & Research,Marrit van den Berg-Hilde Bras-Jeroen Candel-Jessica Duncan,Introductory,Social Sciences,English,English,48,3895.5
Japanese Pronunciation for Communication,Practice pronunciation and improve your spoken Japanese in context.,"23,703",Self-paced on your time,Universitat Politècnica de Valencia,Antonio José Guirao Sánchez,Introductory,Math,Español,Español,25,3975
